MANZENT,mean
14101041004001,21.22588849304363
14101051001001,21.617764396010926
14101061001001,19.64127660945337
14101061006003,20.58862150687203
14101081002001,19.14685969399351
14101081002039,19.61342824400434
14101101003015,24.3713329679067
14101052062191,19.688646825928018
14101062013047,15.032700890010448
14101072002006,20.258496187127875
14101072045128,19.060658700586753
14101072062183,20.305918915212562
14101082002005,19.88425736945078
14101112005019,18.862289633539078
14101162061179,15.654005663855896
14101162062189,19.044646421587935
14101052062182,17.68592904036663
14101062033089,15.27798921148114
14101052062190,21.469855626743453
14101042005020,17.32851311461319
14101162062185,18.77783003401284
14101062033090,15.177320443322524
14101062911044,16.69455764338375
14101072033091,20.041354043037927
14101072002004,18.991082211626725
14101162019060,15.93324528683755
14101042029086,20.006437528650977
14101062033087,15.222905689322559
14101052062184,21.134729923397433
14101112005021,19.145652630599166
14101082032084,19.922608670031057
14101042058167,19.011728905772486
14101042029085,19.616197581931818
14101162958177,19.11145417176955
14101011001019,25.751444441406985
14101011001028,24.307008154736284
14101011001034,23.379292712560574
14101011001035,23.768659394049926
14101011001037,21.96441913122365
14101011001040,23.88660829027395
14101011001042,21.497618177891894
14101021001002,19.90651050298439
14101021001006,18.69320402756117
14101021001024,21.230656022474992
14101021001034,23.541020848132057
14101021001059,20.49198165287039
14101021001060,22.60975673141762
14101021001079,22.6052057409567
14101021001081,20.54652130465776
14101021001091,19.302601538058024
14101021001108,21.07727529552785
14101021001112,20.930681254424403
14101031001002,21.549761425334395
14101031001008,23.461857189360984
14101031001013,23.698545813173787
14101031001014,25.897423158092924
14101031001028,24.608153833301248
14101031001047,25.59698499005759
14101041001003,20.528795361563922
14101041001004,
14101041001006,23.662911400773446
14101041001010,25.012097284404955
14101041001022,24.726543854676162
14101041002004,21.716339260721597
14101041002007,22.837427511877454
14101041003002,24.571375437801848
14101041003003,24.053747598152956
14101041003005,24.213822552558668
14101041003007,24.85887952302432
14101041003008,25.762563516731717
14101041003010,27.51613929741101
14101041003014,27.289752697079734
14101041003015,20.35147651156534
14101041003021,24.39565796390085
