MANZENT,mean
14101041004001,0.03271889452312825
14101051001001,0.07955514398734971
14101061001001,0.05591916527995305
14101061006003,0.06730979101511565
14101081002001,0.026931787375246485
14101081002039,0.04562295969356576
14101101003015,0.07747322475363325
14101052062191,0.0962750401182652
14101062013047,0.010659507639787258
14101072002006,0.04912148784392566
14101072045128,0.0756724984064008
14101072062183,0.09214717593869144
14101082002005,0.05975120280332496
14101112005019,0.04850262561262853
14101162061179,0.004570749550387439
14101162062189,0.048462292192582496
14101052062182,0.04878347650548016
14101062033089,0.028709640315809373
14101052062190,-0.0021098568445669535
14101042005020,0.042308385677650884
14101162062185,0.04935142066493755
14101062033090,0.01871118887154328
14101062911044,0.04214111047307859
14101072033091,0.03790279227705693
14101072002004,0.07845020490283795
14101162019060,0.007541035035873169
14101042029086,0.02019739906509748
14101062033087,0.03389215808923015
14101052062184,0.06854935338450259
14101112005021,0.1099768283260644
14101082032084,0.03332498431478239
14101042058167,0.06035798456713209
14101042029085,0.06573476219321751
14101162958177,0.062329219271156464
14101011001019,-0.004519041847821158
14101011001028,0.06939740844995694
14101011001034,0.04228239168262142
14101011001035,0.024532169643531106
14101011001037,0.04746118318685162
14101011001040,0.006457171237252873
14101011001042,0.027566613013690962
14101021001002,0.040869813218550044
14101021001006,0.04257769785728161
14101021001024,0.074702277189455
14101021001034,0.028886358614085606
14101021001059,0.04736955124354391
14101021001060,0.034709234899450624
14101021001079,0.020172649290162582
14101021001081,0.03124417642190835
14101021001091,0.06748565120522271
14101021001108,0.06454508347190005
14101021001112,0.070537652185682
14101031001002,0.021293839388599325
14101031001008,0.013307921051204668
14101031001013,-0.03639733790676869
14101031001014,-3.7821718053563925E-4
14101031001028,0.011336623262099223
14101031001047,-0.022880570450987032
14101041001003,0.07285824938858666
14101041001004,0.008981555078692263
14101041001006,-0.0026767156441896652
14101041001010,0.007958495027485617
14101041001022,0.030608175962261307
14101041002004,-0.02812266670999467
14101041002007,0.05981381911555357
14101041003002,0.03912897693634448
14101041003003,0.03735123488345609
14101041003005,0.0592882100011304
14101041003007,0.053710848493815924
14101041003008,0.04332647069156706
14101041003010,0.05164780797122313
14101041003014,0.04775984051523735
14101041003015,0.03335280901286852
14101041003021,-0.003822503097480521
14101041004008,0.01968108410212601
14101041004021,0.03718724080625034
14101041005010,0.06439789721322504
14101041005014,0.005259908537054052
14101041005015,-0.05847106842894853
14101041005018,0.05357104011652518
14101041005001,0.045907737192193154
14101041005033,0.05233571616377789
14101051001002,0.0921189479857645
14101051001061,0.03130441268928672
14101051001063,0.014458363925336185
14101051001067,0.06115056304733098
14101051002001,0.06831285552829239
14101051002045,0.04575258968968816
14101051002058,0.037725765133153816
14101051003001,0.03182756763545143
14101051003003,0.024709863575887673
14101051003019,-0.008476163537897754
14101051003041,0.02924309359340974
14101051004001,0.05455210594632782
14101051005005,0.03979783236733585
14101051005016,0.0520202493569974
14101051005041,0.07208210319946097
14101061001036,0.042141165888458815
14101061001039,0.07581172851293529
14101061001044,0.014359269873100475
14101061001045,0.03728427512839234
14101061001047,0.16190387010910504
14101061001052,0.039572770674414365
14101061001059,0.05169230119955198
14101061003030,0.03547905518166821
14101061004002,0.023885375082767776
14101061004009,0.027852864679216625
14101061004017,0.05289099065693443
14101061004024,0.029330126931496142
14101061004040,0.04031405423469538
14101061004043,0.024135954305939275
14101061005006,0.04726063360496155
14101061005012,0.018934087737981983
14101061006006,0.0347047341910992
14101071001008,0.041775634444179435
14101071001011,0.10547105181522021
14101071001015,0.1152653252600559
14101071001016,0.08736191559596089
14101071001023,0.05491151840861634
14101071001026,0.025842500824616508
14101071001043,0.05644484110431924
